Channel,User,Ts,Year,Month,Day,Hour,Minute,Second
demoday,U7C2YBD7D,1513110097.000401,70,0,0,13,18,30
demoday,U7BS22HB3,1513344818.000344,70,0,0,13,22,24
demoday,U7C2YBD7D,1513344822.000283,70,0,0,13,22,24
demoday,U7C2YBD7D,1513344867.000041,70,0,0,13,22,24
demoday,U7G52NFN2,1513348444.000320,70,0,0,13,22,28
demoday,U7C2YBD7D,1513348803.000238,70,0,0,13,22,28
demoday,U7DET4PSP,1513356961.000299,70,0,0,13,22,36
demoday,U7DET4PSP,1513356974.000723,70,0,0,13,22,36
demoday,U7DET4PSP,1513357182.000236,70,0,0,13,22,37
demoday,U7DET4PSP,1513357204.000430,70,0,0,13,22,37
demoday,U7DET4PSP,1513433575.000025,70,0,0,13,23,53
demoday,U7PUGSSMR,1513513287.000025,70,0,0,13,25,13
demoday,U7C2YBD7D,1513626252.000439,70,0,0,13,27,6
demoday,U7C2YBD7D,1513626256.000557,70,0,0,13,27,6
demoday,U7G52NFN2,1513627251.000124,70,0,0,13,27,7
demoday,U7DET4PSP,1513640465.000095,70,0,0,13,27,20
demoday,U7G52NFN2,1513666334.000114,70,0,0,13,27,46
demoday,U7C2YBD7D,1513666423.000208,70,0,0,13,27,46
demoday,U7G52NFN2,1513666837.000069,70,0,0,13,27,46
general,U2WQ03HBJ,1478168838.947131,70,0,0,3,36,8
general,U2WQZKASV,1478169095.000002,70,0,0,3,36,9
general,U2Y7A9163,1478169210.000003,70,0,0,3,36,9
general,U2Y7DH19U,1478170640.000004,70,0,0,3,36,10
general,U2WT4FWU8,1478180589.000005,70,0,0,3,36,20
general,U2XFGAC57,1478247699.000002,70,0,0,3,37,27
general,U2XFGAC57,1478676832.000002,70,0,0,3,44,36
general,U2XFGAC57,1478676868.000003,70,0,0,3,44,36
general,U2XFGAC57,1478676888.000004,70,0,0,3,44,36
general,U2XFGAC57,1478676935.000005,70,0,0,3,44,36
general,U2XFGAC57,1478677007.000006,70,0,0,3,44,37
general,U2XFGAC57,1478677030.000007,70,0,0,3,44,37
general,U2XFGAC57,1478677124.000008,70,0,0,3,44,37
general,U2XFGAC57,1478684604.000002,70,0,0,3,44,44
general,U2XFGAC57,1478684606.000003,70,0,0,3,44,44
